Time,Altitude
0.0,0.0
0.05,0.0044967426082579715
0.1,0.013186726760177056
0.15000000000000002,0.025153705686466896
0.2,0.03925228245911382
0.25,0.05453467218459297
0.30000000000000004,0.07040801066268447
0.35000000000000003,0.08656314427373567
0.4,0.10285516652442363
0.45,0.11922003923545832
0.5,0.13563038902537872
0.55,0.15207475424519534
0.6000000000000001,0.1685484007439436
0.65,0.1850493866908252
0.7000000000000001,0.20157691154724028
0.75,0.218130634666186
0.8,0.2347103981866488
0.8500000000000001,0.25131611594035386
0.9,0.26794772954712487
0.9500000000000001,0.2846051913146311
1.0,0.30128845767657303
1.05,0.31799748671266553
1.1,0.3347322372254721
1.1500000000000001,0.3514926684017082
1.2000000000000002,0.368278739689413
1.25,0.38509041075352185
1.3,0.4019276414594274
1.35,0.4187903918663617
1.4000000000000001,0.4356786222241681
1.4500000000000002,0.45259229297122844
1.5,0.4695313647327831
1.55,0.4864957983193906
1.6,0.5034855547254419
1.6500000000000001,0.5205005951277032
1.7000000000000002,0.5375408808838792
1.75,0.5546063735311919
1.8,0.5716970347849776
1.85,0.5888128265372972
1.9000000000000001,0.6059537108555636
1.9500000000000002,0.6231196499811831
2.0,0.6403106063282124
2.0500000000000003,0.6575265424820291
2.1,0.6747674211980187
2.15,0.6920332054002731
2.2,0.7093238581803055
2.25,0.7266393427957778
2.3000000000000003,0.7439796226692421
2.35,0.7613446613868959
2.4000000000000004,0.7787344226973497
2.45,0.7961488705104087
2.5,0.813587968895867
2.5500000000000003,0.8310516820823137
2.6,0.8485399744559534
2.6500000000000004,0.8660528105594374
2.7,0.8835901550907077
2.75,0.9011519729018534
2.8000000000000003,0.9187382289979784
2.85,0.936348888536081
2.9000000000000004,0.9539839168239458
2.95,0.9716432793190452
3.0,0.9893269416274547
3.0500000000000003,0.9959844555524242
3.1,0.9992224669273186
3.1500000000000004,1.0
3.2,0.9985970765295529
3.25,0.9950308307835432
3.3000000000000003,0.989301262761971
3.35,0.9814083724648361
3.4000000000000004,0.9713521598921386
3.45,0.9591326250438785
3.5,0.9447497679200559
3.5500000000000003,0.9282035885206706
3.6,0.9094940868457229
3.6500000000000004,0.8886212628952124
3.7,0.8655851166691393
3.75,0.8403856481675037
3.8000000000000003,0.8130228573903056
3.85,0.7834967443375447
3.9000000000000004,0.7518073090092213
3.95,0.7179545514053353
4.0,0.6819384715258866
4.05,0.6437590693708755
4.1000000000000005,0.6034163449403016
4.15,0.5609102982341652
4.2,0.5162409292524661
4.25,0.46940823799520454
4.3,0.4204122244623803
4.3500000000000005,0.3692528886539935
4.4,0.31593023057004405
4.45,0.2604442502105321
4.5,0.20279494757545743
4.55,0.14298232266482022
4.6000000000000005,0.08100637547862038
4.65,0.01686710601685796
4.7,0.0
4.75,0.0
4.800000000000001,0.0
4.8500000000000005,0.0
4.9,0.0
4.95,0.0
5.0,0.0
5.050000000000001,0.0
5.1000000000000005,0.0
5.15,0.0
5.2,0.0
5.25,0.0
5.300000000000001,0.0
5.3500000000000005,0.0
5.4,0.0
5.45,0.0
5.5,0.0
5.550000000000001,0.0
5.6000000000000005,0.0
5.65,0.0
5.7,0.0
5.75,0.0
5.800000000000001,0.0
5.8500000000000005,0.0
5.9,0.0
5.95,0.0
6.0,0.0
6.050000000000001,0.0
6.1000000000000005,0.0
6.15,0.0
6.2,0.0
6.25,0.0
6.300000000000001,0.0
6.3500000000000005,0.0
6.4,0.0
6.45,0.0
6.5,0.0
6.550000000000001,0.0
6.6000000000000005,0.0
6.65,0.0
6.7,0.0
6.75,0.0
6.800000000000001,0.0
6.8500000000000005,0.0
6.9,0.0
6.95,0.0
7.0,0.0
7.050000000000001,0.0
7.1000000000000005,0.0
7.15,0.0
7.2,0.0
7.25,0.0
7.300000000000001,0.0
7.3500000000000005,0.0
7.4,0.0
7.45,0.0
7.5,0.0
7.550000000000001,0.0
7.6000000000000005,0.0
7.65,0.0
7.7,0.0
7.75,0.0
7.800000000000001,0.0
7.8500000000000005,0.0
7.9,0.0
7.95,0.0
8.0,0.0
8.05,0.0
8.1,0.0
8.15,0.0
8.200000000000001,0.0
8.25,0.0
8.3,0.0
8.35,0.0
8.4,0.0
8.450000000000001,0.0
8.5,0.0
8.55,0.0
8.6,0.0
8.65,0.0
8.700000000000001,0.0
8.75,0.0
8.8,0.0
8.85,0.0
8.9,0.0
8.950000000000001,0.0
9.0,0.0
9.05,0.0
9.1,0.0
9.15,0.0
9.200000000000001,0.0
9.25,0.0
9.3,0.0
9.35,0.0
9.4,0.0
9.450000000000001,0.0
9.5,0.0
9.55,0.0
9.600000000000001,0.0
9.65,0.0
9.700000000000001,0.0
9.75,0.0
9.8,0.0
9.850000000000001,0.0
9.9,0.0
9.950000000000001,0.0
10.0,0.0
